Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      498    0.007    0.000    0.091    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:371(tocsr)
     5700    0.007    0.000    0.027    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:289(full)
      655    0.007    0.000    0.009    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
     5815    0.007    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:313(_check_ellipsis)
     4298    0.006    0.000    6.545    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:616(__matmul__)
     1530    0.006    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:78(_csc_container)
     5811    0.006    0.000    0.017    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:1277(_process_toarray_args)
    12836    0.006    0.000    0.015    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
       19    0.006    0.000  120.989    6.368 /home/jyan_linux/Downloads/Software/ozone_lsdo_nbe/ozone/ozone/classes/integrators/TimeMarching.py:792(compute_stage_explicit)
     9606    0.006    0.000    0.031    0.000 {method 'min' of 'numpy.ndarray' objects}
     5780    0.005    0.000    0.036    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2497(cumsum)
     3231    0.005    0.000    0.027    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:125(_set_self)
    12592    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    12874    0.005    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:250(isdense)
    27200    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
     5778    0.005    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1755(ravel)
     5780    0.005    0.000    0.046    0.000 <__array_function__ internals>:177(cumsum)
    11426    0.005    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1397(<listcomp>)
     5701    0.005    0.000    0.005    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    58/39    0.005    0.000  120.023    3.078 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:313(_compute_totals)
     8100    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1143(__set_sorted)
    39628    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csr.py:231(_swap)
    17312    0.005    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     5713    0.005    0.000    0.089    0.000 <__array_function__ internals>:177(moveaxis)
      382    0.005    0.000    0.356    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/custom_utils.py:177(postprocess_compute_derivatives)
     5440    0.005    0.000    0.174    0.000 <__array_function__ internals>:177(einsum)
     4225    0.005    0.000    0.016    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:739(__getattr__)
     9606    0.005    0.000    0.070    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/_methods.py:38(_amax)
       77    0.004    0.000    0.051    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:899(_set_many)
      566    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/twodim_base.py:162(eye)
      153    0.004    0.000    0.005    0.000 {built-in method _warnings.warn}
      152    0.004    0.000    0.004    0.000 {built-in method scipy.sparse._sparsetools.csc_matvecs}
     5700    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:782(_minor_slice)
     3824    0.004    0.000    0.011    0.000 <__array_function__ internals>:177(empty_like)
   402/22    0.004    0.000  120.995    5.500 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/custom_explicit/custom_explicit.py:146(solve)
     5713    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
     5700    0.004    0.000    0.051    0.000 <__array_function__ internals>:177(flatnonzero)
     8103    0.004    0.000    0.004    0.000 {built-in method builtins.hash}
   1140/1    0.004    0.000    0.006    0.006 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:109(to_string)
       38    0.004    0.000    1.677    0.044 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/implicit/implicit_solver.py:121(accumulate_rev)
     4256    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:54(upcast_char)
     1781    0.004    0.000    0.321    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:348(asformat)
     1618    0.004    0.000    0.046    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     5440    0.004    0.000    0.150    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/einsumfunc.py:1009(einsum)
    31401    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     1952    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:95(getdtype)
     5778    0.003    0.000    0.017    0.000 <__array_function__ internals>:177(ravel)
     9606    0.003    0.000    0.025    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/_methods.py:42(_amin)
      422    0.003    0.000    0.050    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1034(tocoo)
      764    0.003    0.000    0.385    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/custom_explicit/custom_explicit.py:172(get_partials)
      130    0.003    0.000    0.005    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/linear_combination.py:43(get_partials)
      247    0.003    0.000    0.009    0.000 /home/jyan_linux/Downloads/Software/lsdo_UVLM_new/lsdo_uvlm/lsdo_uvlm/uvlm_system/solve_circulations/utils/einsum_kij_kij_ki.py:50(compute_derivatives)
     5713    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1472(<listcomp>)
     4596    0.003    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:28(write)
     5701    0.003    0.000    0.013    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
     8829    0.003    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:861(predecessors)
     60/1    0.003    0.000  121.042  121.042 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:251(_run)
     5701    0.003    0.000    0.019    0.000 <__array_function__ internals>:177(nonzero)
      156    0.003    0.000    0.069    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:507(_mul_sparse_matrix)
       38    0.003    0.000    1.592    0.042 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/implicit/implicit_solver.py:81(solve_res_system_rev)
      382    0.003    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/custom_utils.py:155(prepare_compute_derivatives)
     2008    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1103(__set_has_canonical_format)
     1898    0.002    0.000    0.218    0.000 <__array_function__ internals>:177(cross)
      620    0.002    0.000    0.002    0.000 {built-in method numpy.arange}
    15267    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3117(_ndim_dispatcher)
     1875    0.002    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:119(getdata)
    15659    0.002    0.000    0.002    0.000 {built-in method builtins.next}
      730    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       38    0.002    0.000    0.002    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gstrf}
       20    0.002    0.000    0.002    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gssv}
    10101    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:1071(copyto)
      382    0.002    0.000    0.382    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/custom_explicit/custom_explicit.py:182(compute_derivatives)
     2484    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/parameters.py:476(__getitem__)
      423    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:81(atleast_2d)
      825    0.002    0.000    0.041    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
     4502    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:829(successors)
      154    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1319(diff)
     2008    0.002    0.000    0.050    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1111(sum_duplicates)
       77    0.001    0.000    0.063    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:96(__setitem__)
     1956    0.001    0.000    0.001    0.000 {built-in method numpy.promote_types}
       95    0.001    0.000    0.021    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1238(_binopt)
     7749    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
        1    0.001    0.001  120.992  120.992 /home/jyan_linux/Downloads/Software/ozone_lsdo_nbe/ozone/ozone/classes/integrators/TimeMarching.py:228(integrate_ODE_phase)
       38    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4999(delete)
     1139    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:101(_indent_all)
     5713    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1406(_moveaxis_dispatcher)
     2570    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:464(_find_unique_id)
      655    0.001    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:138(unique)
      156    0.001    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:883(check_bounds)
     5713    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
       76    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/twodim_base.py:312(diagflat)
      156    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_matmat}
       38    0.001    0.000    0.105    0.003 Instructions_DERIVATIVESy-->gamma_b,aic_bd_proj,M_mat,gamma_w,b:15(<module>)
      156    0.001    0.000    0.098    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:595(_mul_sparse_matrix)
     5780    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2493(_cumsum_dispatcher)
       38    0.001    0.000    0.003    0.000 Instructions_RUN_MODEL:11(<module>)
      422    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.expandptr}
      825    0.001    0.000    0.043    0.000 <__array_function__ internals>:177(sum)
     5700    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:627(_flatnonzero_dispatcher)
      304    0.001    0.000    0.106    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:387(multiply)
     1618    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
      793    0.001    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2927(prod)
      260    0.001    0.000    0.010    0.000 /home/jyan_linux/Downloads/Software/lsdo_UVLM_new/lsdo_uvlm/lsdo_uvlm/uvlm_system/solve_circulations/utils/einsum_kij_kij_ki.py:38(compute)
