Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4401    0.007    0.000    0.034    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:149(ones)
     4374    0.015    0.000    6.516    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:507(_mul_dispatch)
     4298    0.006    0.000    6.545    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:616(__matmul__)
     4256    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:54(upcast_char)
     4225    0.005    0.000    0.016    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:739(__getattr__)
     4066    0.030    0.000    6.369    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:493(_mul_multivector)
     4028    0.021    0.000    0.460    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:108(transpose)
     3914    5.606    0.001    5.606    0.001 {built-in method scipy.sparse._sparsetools.csr_matvecs}
     3914    0.020    0.000    6.898    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:598(_rmul_dispatch)
     3914    0.008    0.000    6.942    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:622(__rmatmul__)
     3824    0.004    0.000    0.011    0.000 <__array_function__ internals>:177(empty_like)
     3824    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:80(empty_like)
     3231    0.005    0.000    0.027    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:125(_set_self)
     2821    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/general_utils.py:31(get_deriv_name)
     2660    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/general_utils.py:41(get_path_name)
     2570    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:464(_find_unique_id)
     2484    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/parameters.py:476(__getitem__)
     2008    0.020    0.000    0.020    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
     2008    0.007    0.000    0.048    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1081(__get_has_canonical_format)
     2008    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1103(__set_has_canonical_format)
     2008    0.002    0.000    0.050    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1111(sum_duplicates)
     1956    0.001    0.000    0.001    0.000 {built-in method numpy.promote_types}
     1952    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:95(getdtype)
     1912    0.052    0.000    0.052    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
     1898    0.002    0.000    0.218    0.000 <__array_function__ internals>:177(cross)
     1898    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1481(_cross_dispatcher)
     1898    0.112    0.000    0.211    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1485(cross)
